from,to,value
0x32dc67acbeed292f2b526ef45b654dc77cbb5a5d,0xec30d02f10353f8efc9601371f56e808751f396f,995.532855
0xc55dd680d2521c10f27e12c7c1c2f8c574a1f7af,0xec30d02f10353f8efc9601371f56e808751f396f,137.19
0x1648d8b1563b7f67afe3c5581d2b7d5413f2de5e,0xec30d02f10353f8efc9601371f56e808751f396f,387.62
0x3369b162ab0189214fcd79be9a80aa2b234d9dfd,0xec30d02f10353f8efc9601371f56e808751f396f,84.322823
0xfe3324de521edc7922305109724208fd600b4650,0xec30d02f10353f8efc9601371f56e808751f396f,1000
0x0d4a11d5eeaac28ec3f61d100daf4d40471f1852,0x1cd926f3e12f7b6c2833fbe7277ac53d529a794e,2653.974054
0x5041ed759dd4afc3a72b8192c143f72f4724081a,0xec833f8f5b40ab617a9a55b4221b6e7137b5a7ec,2866.245
0xa75b0c0e1ff74d85d2e40c1cea9159608bdc265b,0x63a395b574d5e23c3dbc6986be5994ef6743afa8,317.19809
0xa208fe79b5f289d453f8b0cfc7cb01622de88290,0x2faf487a4414fe77e2327f0bf4ae2a264a776ad2,6000
0x151655100632ec992cb62a864607bdd72a80f588,0x9eb5e85620c9c84533516393f1999c43a46e92a4,17.099928
0x0d4a11d5eeaac28ec3f61d100daf4d40471f1852,0xf5b53457b5d297124cb511cf194a96ed699c5bca,112.358088
0xb092729b857f1d5fa7c3aae991eed67915649fcf,0x842a499c04afab73af5b1940ee492cd3f7f3eb2e,948.706976
0x9d8f9fb148dffb837bc1b0f010349a5f0f37262e,0xbd578df89c458b1cc60d7afca2f960831cd820a2,186.33
0x0f9119d9fbffb82fa094c8734661b4319ef7a964,0x74de5d4fcbf63e00296fd95d33236b9794016631,37.913
0x74de5d4fcbf63e00296fd95d33236b9794016631,0x0d4a11d5eeaac28ec3f61d100daf4d40471f1852,37.913
0xd498c87a28773a74fda6ed0ab8728aca0f245740,0x9a3dd122bc18a57f7f397fab9abc64d92c5fa214,95
0x11b815efb8f581194ae79006d24e0d814b7697f6,0xb00b67377f795b4b4b845a6294ba89477e13ace8,17042.530864
0xe41023687d14427ca784f25d981dd224f38a589a,0xc1de4bbc73e6c4003f556f6ab9bf45794ea60a4f,19568
0xb5d85cbf7cb3ee0d56b3bb207d5fc4b82f43f511,0x41cafe1465b2e2743c83ac7397c0fbc1715cad3d,47.03457
0x21a31ee1afc51d94c2efccaa2092ad1028285549,0x26810b88d93f2c7b902a88d72024485b426a1b3a,5000
0xec30d02f10353f8efc9601371f56e808751f396f,0x9fbf611328d1361a8d9dd66107af374a178b6fd3,964.608297
0xbeefbabeea323f07c59926295205d3b7a17e8638,0x0d4a11d5eeaac28ec3f61d100daf4d40471f1852,11484.9
0xbeefbabeea323f07c59926295205d3b7a17e8638,0x4e68ccd3e89f51c3074ca5072bbac773960dfa36,2131.2
0xbeefbabeea323f07c59926295205d3b7a17e8638,0xd51a44d3fae010294c616388b506acda1bfaae46,44994.6
0xbeefbabeea323f07c59926295205d3b7a17e8638,0x11b815efb8f581194ae79006d24e0d814b7697f6,35643.6
0x11b815efb8f581194ae79006d24e0d814b7697f6,0x56178a0d5f301baf6cf3e1cd53d9863437345bf9,27030.379324
0xdfd5293d8e347dfe59e90efd55b2956a1343963d,0x48392652402694c84dd64b6fd99b6e99f52014f8,1014.989661
0x56eddb7aa87536c09ccc2793473599fd21a8b17f,0xe4fe44ae12c497303c915f4438013b535c29cb52,99996
0x0d4a11d5eeaac28ec3f61d100daf4d40471f1852,0x0466b4e9d3e9bad1a064556f10d8463e77a5b43a,3234.361277
0x5c896c6a15d3ad74348962ce8c06fc321b25376e,0x9d43dfeb4462ec0ab48e7ed890dd6c498f1e455c,2677
0x946e24cefd30bfe0686a5d5fc2e19cc58b7b6e1b,0xec30d02f10353f8efc9601371f56e808751f396f,125
0xba12222222228d8ba445958a75a0704d566bf2c8,0x27239549dd40e1d60f5b80b0c4196923745b1fd2,10001.801194
0x27239549dd40e1d60f5b80b0c4196923745b1fd2,0x945bcf562085de2d5875b9e2012ed5fd5cfab927,10001.801194
0xa2365cf4ee7e7c5abc06a9722e1f1e285a92424e,0x6b80566450cfe89d1d51c029dfd5884c519674c7,101
0xe9f76a3ef8612d2141820d2dee820397fea7dd9a,0xc262c623bdf85dd2667bca582af40dcaeb3cbfcf,208
0xbeefbabeea323f07c59926295205d3b7a17e8638,0xd51a44d3fae010294c616388b506acda1bfaae46,66473.1
0xbeefbabeea323f07c59926295205d3b7a17e8638,0x4e68ccd3e89f51c3074ca5072bbac773960dfa36,174778.2
0xbeefbabeea323f07c59926295205d3b7a17e8638,0x11b815efb8f581194ae79006d24e0d814b7697f6,80874
0xbeefbabeea323f07c59926295205d3b7a17e8638,0x0d4a11d5eeaac28ec3f61d100daf4d40471f1852,17811.9
0xbeefbabeea323f07c59926295205d3b7a17e8638,0x06da0fd433c1a5d7a4faa01111c044910a184553,21648.6
0xbeefbabeea323f07c59926295205d3b7a17e8638,0x9db9e0e53058c89e5b94e29621a205198648425b,6562
0x46340b20830761efd32832a74d7169b29feb9758,0x3b820cd62a2a4cf0c8efa80dc2f718f35c2f1f0a,260
0x46340b20830761efd32832a74d7169b29feb9758,0xb10231550869d7b9d390c735eccd584db542d4c7,68
0xa0a3c235e7f93dbd9f531093f246d6fe0f0c8cf1,0x2faf487a4414fe77e2327f0bf4ae2a264a776ad2,100
0x46340b20830761efd32832a74d7169b29feb9758,0xa5bc329693e50dfc10331e0c621a3a15b6f5a907,968.13
0xbeefbabeea323f07c59926295205d3b7a17e8638,0x703b120f15ab77b986a24c6f9262364d02f9432f,1350
0x3cd751e6b0078be393132286c442345e5dc49699,0xc4e373d88650389e1769bd622233cd73a0382e5c,1045.345106
0x6eba653f87cbf1ce2038b695ca8cb23b32d96967,0x9c253893b2a32e62e6ed92f742cbc7f14d1bea32,10.011062
0x56178a0d5f301baf6cf3e1cd53d9863437345bf9,0x74de5d4fcbf63e00296fd95d33236b9794016631,3079.727607
0x74de5d4fcbf63e00296fd95d33236b9794016631,0x7575c41c976b3b92fa5ca87a7a5dbd1821607a50,3079.727607
0x28c6c06298d514db089934071355e5743bf21d60,0x8b2089826a34776cb87e59a3eb69b5da9646e66e,5000
0x0d4a11d5eeaac28ec3f61d100daf4d40471f1852,0x8d3fd9f0b88a624007da403541e8e94de09bf9e9,225.285913
0x10b82b7e7df21b779ac2b25e675ea0fc5c9bf167,0xfbd7e37194173d27cd59a4d18f1a564e9f2244eb,4
0x3fb1e71521747dfb8474130e4ce48d439c41d0b9,0x2cb162433e0cabac4825e6d198a125829156cc92,1700
0xba12222222228d8ba445958a75a0704d566bf2c8,0x27239549dd40e1d60f5b80b0c4196923745b1fd2,9287.383511
0x27239549dd40e1d60f5b80b0c4196923745b1fd2,0x7de2651bee26ed43426d3e7b014f60543d48cded,9287.383511
0xbeefbabeea323f07c59926295205d3b7a17e8638,0x4e68ccd3e89f51c3074ca5072bbac773960dfa36,323379
0xbeefbabeea323f07c59926295205d3b7a17e8638,0x11b815efb8f581194ae79006d24e0d814b7697f6,78570.9
0x11b815efb8f581194ae79006d24e0d814b7697f6,0xbadc0defafcf6d4239bdf0b66da4d7bd36fcf05a,44963.762219
0xbadc0defafcf6d4239bdf0b66da4d7bd36fcf05a,0x3416cf6c708da44db2624d63ea0aaef7113527c6,44963.762219
0xbeefbabeea323f07c59926295205d3b7a17e8638,0xd51a44d3fae010294c616388b506acda1bfaae46,98206.2
0x56178a0d5f301baf6cf3e1cd53d9863437345bf9,0xa57bd00134b2850b2a1c55860c9e9ea100fdd6cf,4951.005982
0xa57bd00134b2850b2a1c55860c9e9ea100fdd6cf,0x79d89b87468a59b9895b31e3a373dc5973d60065,4951.005982
0xbeefbabeea323f07c59926295205d3b7a17e8638,0x11b815efb8f581194ae79006d24e0d814b7697f6,108375.3
0xbeefbabeea323f07c59926295205d3b7a17e8638,0x0d4a11d5eeaac28ec3f61d100daf4d40471f1852,42852.6
0xbeefbabeea323f07c59926295205d3b7a17e8638,0x4e68ccd3e89f51c3074ca5072bbac773960dfa36,113684.4
0xbeefbabeea323f07c59926295205d3b7a17e8638,0x06da0fd433c1a5d7a4faa01111c044910a184553,31979.7
0xbeefbabeea323f07c59926295205d3b7a17e8638,0xd51a44d3fae010294c616388b506acda1bfaae46,60293.7
0xd51a44d3fae010294c616388b506acda1bfaae46,0xeef86c2e49e11345f1a693675df9a38f7d880c8f,129206.546157
0xeef86c2e49e11345f1a693675df9a38f7d880c8f,0x3416cf6c708da44db2624d63ea0aaef7113527c6,129206.544863
0xbebc44782c7db0a1a60cb6fe97d0b483032ff1c7,0x220bda5c8994804ac96ebe4df184d25e5c2196d4,5922.960198
0x220bda5c8994804ac96ebe4df184d25e5c2196d4,0x56178a0d5f301baf6cf3e1cd53d9863437345bf9,5922.960198
0xba12222222228d8ba445958a75a0704d566bf2c8,0x220bda5c8994804ac96ebe4df184d25e5c2196d4,8077.33951
0x220bda5c8994804ac96ebe4df184d25e5c2196d4,0x945bcf562085de2d5875b9e2012ed5fd5cfab927,8077.33951
0x3cd751e6b0078be393132286c442345e5dc49699,0x376e0d8d35b27ce32596329671a32fdb49fee1c5,298.183942
0x11b815efb8f581194ae79006d24e0d814b7697f6,0x56178a0d5f301baf6cf3e1cd53d9863437345bf9,71464.474649
0xbeefbabeea323f07c59926295205d3b7a17e8638,0xb0f4a77bde7fee134265307c5cc19abff0ba409b,2789
0x11b815efb8f581194ae79006d24e0d814b7697f6,0xfcd13ea0b906f2f87229650b8d93a51b2e839ebd,2890.472857
0xf26f397fef9f338b7502c6fc42aa18ebd1af756d,0xf3c1a4c3cb0eab12ddfe3c981134cb92507bb367,436.973251
0x21a31ee1afc51d94c2efccaa2092ad1028285549,0x1ee0c0fe35ed6c4c5f801f39195d3a57220ce1e8,360.13
0xd9a742ad1b29762e5ca6f314ae7807440a91c5fc,0xb4ca630bf0105145cccfbf96ec7abda5c7a01bf8,100
0x14c4017f81675f7ac1321218d4a385a2d3117328,0x00e52c263d7f364641218ce2b1c55cefccdbfa53,987.36
0x22c425a290fca34acbf69e0297a980feaa3d487e,0x3af7a58d54cf014675af2b7ebc222c3166bf5692,500
0x54f25c902537c37e88ac96e0d8e86ed50ae426e0,0x134583c611aaf9f126eb63fbdd9e4359b95db1dd,4000
0x0f9119d9fbffb82fa094c8734661b4319ef7a964,0xc411c8b59b8a7481cdf2774be15c7636305521e7,100
0xf42fabd76354bcac5beb600dd89d6342743470df,0xf62468380cb256c8888296225d7f14347b3c6580,124.599
0x11b815efb8f581194ae79006d24e0d814b7697f6,0x3416cf6c708da44db2624d63ea0aaef7113527c6,20696.439048
0xc2cdf2edbf9a45be1b375568949a892a3303b651,0x220bda5c8994804ac96ebe4df184d25e5c2196d4,3000000
0x220bda5c8994804ac96ebe4df184d25e5c2196d4,0xbebc44782c7db0a1a60cb6fe97d0b483032ff1c7,3000000
0x31a75cf2aee3d6eeec132a0aa0237a8f0969b0ec,0xf217cad75b4c33afa79893a219b25ab90ab0dc30,158.53
0x2cb162433e0cabac4825e6d198a125829156cc92,0x591fdf9dadbfb1dce406dc5dfac6202eeda3567f,1499.608264
0x46340b20830761efd32832a74d7169b29feb9758,0x96128b02413692223f379172ce43ee50bb7d07f7,225.027242
0x11b815efb8f581194ae79006d24e0d814b7697f6,0x8e60b2b96ea901beb2cafd79b8d0ed249a5efd95,5477.444509
0x8e60b2b96ea901beb2cafd79b8d0ed249a5efd95,0xc2a856c3aff2110c1171b8f942256d40e980c726,5477.444509
0x3d71d79c224998e608d03c5ec9b405e7a38505f0,0x57845987c8c859d52931ee248d8d84ab10532407,23270.17919
0x11b815efb8f581194ae79006d24e0d814b7697f6,0x3d71d79c224998e608d03c5ec9b405e7a38505f0,23298.634185
0xd51a44d3fae010294c616388b506acda1bfaae46,0xa57bd00134b2850b2a1c55860c9e9ea100fdd6cf,26475.952845
0xa57bd00134b2850b2a1c55860c9e9ea100fdd6cf,0x56178a0d5f301baf6cf3e1cd53d9863437345bf9,26475.952845
0xbeefbabeea323f07c59926295205d3b7a17e8638,0xd51a44d3fae010294c616388b506acda1bfaae46,37018.8
0xbeefbabeea323f07c59926295205d3b7a17e8638,0x11b815efb8f581194ae79006d24e0d814b7697f6,52656.3
0x11b815efb8f581194ae79006d24e0d814b7697f6,0x74c99f3f5331676f6aec2756e1f39b4fc029a83e,7508.6004
0x2faf487a4414fe77e2327f0bf4ae2a264a776ad2,0xe13a4d21adc74d8c8f95afab81f3ecb07ab2b181,40000
0x2faf487a4414fe77e2327f0bf4ae2a264a776ad2,0x4fe64d7978bee1a5905970f17f70f6553c41bbfb,350
0x2faf487a4414fe77e2327f0bf4ae2a264a776ad2,0x10a09544fa50e5e83123f19b5c2ed71652969824,9
0x3cd751e6b0078be393132286c442345e5dc49699,0xc8d9c03d3e853cbbcec18410ca5965426c198747,30
0x3cd751e6b0078be393132286c442345e5dc49699,0xfa103c21ea2df71dfb92b0652f8b1d795e51cdef,612309
0x11b815efb8f581194ae79006d24e0d814b7697f6,0x56178a0d5f301baf6cf3e1cd53d9863437345bf9,48175.772433
0x4b74a58350a3d8967a6d860ded990b620d03d923,0x56178a0d5f301baf6cf3e1cd53d9863437345bf9,98033.383091
0x4e68ccd3e89f51c3074ca5072bbac773960dfa36,0x56178a0d5f301baf6cf3e1cd53d9863437345bf9,58024.262961
0xd1194c0542e08bee254bf850b018da1883ad5e32,0x0d4a11d5eeaac28ec3f61d100daf4d40471f1852,47.996
0x7a765c40a94e47d7f218daea7cc3a5f75a760104,0x3b59dc5928a84012e523d6bc64543e94fd71fb2e,142411
0x4e68ccd3e89f51c3074ca5072bbac773960dfa36,0x9e251daeb17981477509779612dc2ffa8075aa8e,1530.794814
0x0d4a11d5eeaac28ec3f61d100daf4d40471f1852,0x55d31f68975e446a40a2d02ffa4b0e1bfb233c2f,3021.068084
0x11b815efb8f581194ae79006d24e0d814b7697f6,0x56178a0d5f301baf6cf3e1cd53d9863437345bf9,11370.72872
0x06da0fd433c1a5d7a4faa01111c044910a184553,0x4087d0e6e513f260de87408bee9334a5742cfdf4,1959.354515
